#      xpix        ypix        flux     vel_pix    disp_pix
    -0.5127     -7.4999      0.1740     38.2548    121.1148
    -0.0127     -7.4999      0.1712     30.7143    120.6628
     0.4873     -7.4999      0.1705     29.2570    124.7779
     0.9873     -7.4999      0.1689     22.0362    120.4573
     1.4873     -7.4999      0.1702      7.3454    116.0154
     1.9873     -7.4999      0.1659     -4.5726    115.9202
     2.4872     -7.4999      0.1593    -14.3204    114.7227
     2.9872     -7.4999      0.1560    -14.6290    124.8272
     3.4872     -7.4999      0.1515    -10.2746    126.7510
     3.9872     -7.4999      0.1477     -4.0052    125.1188
     4.4872     -7.4999      0.1377     -4.0052    125.1188
     4.9872     -7.4999      0.1289     -9.1038    132.4063
     5.4872     -7.4999      0.1226    -41.3780    135.1203
     5.9872     -7.4999      0.1180    -41.3780    135.1203
     6.4871     -7.4999      0.1148    -60.6121    122.2667
     6.9871     -7.5000      0.1123    -62.8910    115.5846
    -6.5125     -6.9999      0.1385    126.4416    120.4005
    -6.0126     -6.9999      0.1442    121.8265    115.1776
    -5.5126     -6.9999      0.1485    119.3555    113.9388
    -5.0126     -6.9999      0.1524    113.3136    108.5358
    -4.5126     -6.9999      0.1601    105.6386    105.5061
    -4.0126     -6.9999      0.1682     99.9702     96.9694
    -3.5126     -6.9999      0.1783     93.8948     89.8566
    -3.0126     -6.9999      0.1804     83.8713     87.9661
    -2.5126     -6.9999      0.1823     76.1784     96.0521
    -2.0126     -6.9999      0.1864     70.1682    103.6872
    -1.5127     -6.9999      0.1936     59.5845    119.8219
    -1.0127     -6.9999      0.2016     46.2580    116.9017
    -0.5127     -6.9999      0.1990     40.0452    116.1691
    -0.0127     -6.9999      0.1964     35.5167    113.8159
     0.4873     -6.9999      0.1921     33.9629    116.7642
     0.9873     -6.9999      0.1945     25.3071    122.3338
     1.4873     -6.9999      0.1961     10.5888    121.0805
     1.9873     -6.9999      0.1901     -3.9906    124.4166
     2.4872     -6.9999      0.1811    -11.8743    122.4737
     2.9872     -6.9999      0.1700    -17.7314    122.7320
     3.4872     -6.9999      0.1682    -15.0391    113.3107
     3.9872     -6.9999      0.1652    -15.5226    118.9006
     4.4872     -6.9999      0.1564    -14.4741    117.6208
     4.9872     -6.9999      0.1427    -21.3498    123.7157
     5.4872     -6.9999      0.1322    -41.3780    135.1203
     5.9872     -6.9999      0.1249    -41.3780    135.1203
     6.4871     -6.9999      0.1224    -60.6121    122.2667
     6.9871     -7.0000      0.1197    -62.8910    115.5846
    -7.0125     -6.5000      0.1407    137.1041    119.2496
    -6.5126     -6.4999      0.1477    126.4416    120.4005
    -6.0126     -6.4999      0.1544    116.2588    116.9830
    -5.5126     -6.4999      0.1642    116.8148    114.7517
    -5.0126     -6.4999      0.1690    117.3114    110.0804
    -4.5126     -6.4999      0.1812    111.8742    108.5691
    -4.0126     -6.4999      0.1906    104.1243    106.3101
    -3.5126     -6.4999      0.1967     92.7289    102.6398
    -3.0126     -6.4999      0.2067     86.2934    102.5684
    -2.5126     -6.4999      0.2137     78.2163    108.2947
    -2.0127     -6.4999      0.2247     72.8414    118.6477
    -1.5127     -6.4999      0.2305     61.6576    121.7545
    -1.0127     -6.4999      0.2295     47.1791    119.6313
    -0.5127     -6.4999      0.2368     42.3483    113.8685
    -0.0127     -6.4999      0.2375     34.9768    115.5684
